name,sap_id,identifier,state,city,postal_code,address_1,address_2,address_3,full_address,phone,fax,latitude,longitude,services,hours
OPSM Oran Park,4614,OPSM Oran Park_4614,NSW,Oran Park,2570,351 Oran Park Dr.,,,"351 Oran Park Dr., Oran Park, NSW, 2570",(02) 4744 3831,(02) 4744 3832,-34.01285,150.74166,,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Orange,1028,OPSM Orange_1028,NSW,Orange,2800,227-237 Summer St,,,"227-237 Summer St, Orange, NSW, 2800",(02) 6362 1284,(02) 6363 1890,-33.28296,149.10032,"Dry Eye, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-15:00
OPSM Eastgardens,1180,OPSM Eastgardens_1180,NSW,Pagewood,2035,152 Bunnerong Rd,,,"152 Bunnerong Rd, Pagewood, NSW, 2035",(02) 9349 3377,(02) 9349 6232,-33.945,151.22597,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-17:00
OPSM Parkes,1117,OPSM Parkes_1117,NSW,Parkes,2870,299 Clarinda St,,,"299 Clarinda St, Parkes, NSW, 2870",(02) 6862 1576,(02) 6862 5034,-33.13424,148.17464,Collect & Return,Mon: 09:00-17:00; Tue: 09:00-17:00; Wed: 09:00-17:00; Thu: 09:00-17:00; Fri: 09:00-17:00; Sat: 09:00-12:00; Sun: closed
OPSM Parramatta,1326,OPSM Parramatta_1326,NSW,Parramatta,2150,159-175 Church St,,,"159-175 Church St, Parramatta, NSW, 2150",(02) 9633 2394,(02) 9689 3429,-33.81736,151.00279,"Dry Eye, Collect & Return",Mon: 09:30-18:00; Tue: 09:30-18:00; Wed: 09:30-18:00; Thu: 09:30-21:00; Fri: 09:30-18:00; Sat: 09:00-18:00; Sun: 10:00-18:00
OPSM Nepean,1300,OPSM Nepean_1300,NSW,Penrith,2750,Cnr Station St &amp; Woodriff St,,,"Cnr Station St &amp; Woodriff St, Penrith, NSW, 2750",(02) 4722 8593,(02) 4722 8721,-33.75743,150.69256,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Penrith Plaza,1328,OPSM Penrith Plaza_1328,NSW,Penrith,2750,585 High St,,,"585 High St, Penrith, NSW, 2750",(02) 4721 8477,(02) 4732 1014,-33.75154,150.6927,"Dry Eye, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-17:00
OPSM Plumpton,1351,OPSM Plumpton_1351,NSW,Plumpton,2761,Hyatts Rd &amp; Jersey Rd,,,"Hyatts Rd &amp; Jersey Rd, Plumpton, NSW, 2761",(02) 9677 2387,(02) 9677 2397,-33.7458,150.83603,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Port Central,2297,OPSM Port Central_2297,NSW,Port Macquarie,2444,40-42 Horton St,,,"40-42 Horton St, Port Macquarie, NSW, 2444",(02) 6583 1377,(02) 6583 8683,-31.42759,152.89538,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-18:30; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: closed
OPSM Port Macquarie,2296,OPSM Port Macquarie_2296,NSW,Port Macquarie,2444,Cnr Park &amp; Bay St,,,"Cnr Park &amp; Bay St, Port Macquarie, NSW, 2444",(02) 6583 4271,(02) 6583 7264,-31.42759,152.89538,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-16:30; Sun: 10:00-16:00
OPSM Queanbeyan,1384,OPSM Queanbeyan_1384,NSW,Queanbeyan,2620,131 Monaro St,,,"131 Monaro St, Queanbeyan, NSW, 2620",(02) 6299 4411,(02) 6297 4295,-35.35179,149.23459,"Kids Vision Centre, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Randwick,2971,OPSM Randwick_2971,NSW,Randwick,2031,73 Belmore Rd,,,"73 Belmore Rd, Randwick, NSW, 2031",(02) 9399 3365,(02) 9399 8329,-33.91542,151.24106,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-18:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00
OPSM Raymond Terrace,1430,OPSM Raymond Terrace_1430,NSW,Raymond Terrace,2324,Port Stephens St,,,"Port Stephens St, Raymond Terrace, NSW, 2324",(02) 4987 3171,(02) 4987 3510,-32.76086,151.74363,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Rhodes,2966,OPSM Rhodes_2966,NSW,Rhodes,2138,1 Rider Blvd,,,"1 Rider Blvd, Rhodes, NSW, 2138",(02) 9743 5616,(02) 9743 3372,-33.83515,151.08538,Collect & Return,Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-18:00; Sat: 09:00-18:00; Sun: 10:00-18:00
OPSM Richmond,1257,OPSM Richmond_1257,NSW,Richmond,2753,253 Windsor St,,,"253 Windsor St, Richmond, NSW, 2753",(02) 4578 4093,(02) 4578 1687,-33.59608,150.75006,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:00; Fri: 09:00-17:30; Sat: 08:30-16:00; Sun: closed
OPSM Roselands,1415,OPSM Roselands_1415,NSW,Roselands,2196,Roselands Dr,,,"Roselands Dr, Roselands, NSW, 2196",(02) 9759 0825,(02) 9750 3196,-33.93492,151.06921,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Rouse Hill,4633,OPSM Rouse Hill_4633,NSW,Rouse Hill,2155,10-14 Market Place,,,"10-14 Market Place, Rouse Hill, NSW, 2155",(02) 8882 9399,0291367653,-33.69094,150.92434,"Audiology, Dry Eye, Kids Vision Centre, Collect & Return",Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-18:00; Sat: 09:00-18:00; Sun: 10:00-17:00
OPSM Top Ryde,1551,OPSM Top Ryde_1551,NSW,Ryde,2112,109-129 Blaxland Rd,,,"109-129 Blaxland Rd, Ryde, NSW, 2112",(02) 9807 6211,(02) 9807 4677,-33.8121,151.10571,Collect & Return,Mon: 09:00-18:00; Tue: 09:00-18:00; Wed: 09:00-18:00; Thu: 09:00-21:00; Fri: 09:00-18:00; Sat: 09:00-18:00; Sun: 10:00-17:00
OPSM Salamander Bay,1375,OPSM Salamander Bay_1375,NSW,Salamander Bay,2317,2 Town Centre Circuit,,,"2 Town Centre Circuit, Salamander Bay, NSW, 2317",(02) 4982 0770,(02) 4982 0430,-32.73537,152.10689,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:30; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
SHELLHARBOUR,1105,SHELLHARBOUR_1105,NSW,Shellharbour,2529,Shop 1004-1005,,,"Shop 1004-1005, Shellharbour, NSW, 2529",(02) 4296 7777,(02) 4296 5000,-34.5629,150.8393,"Dry Eye, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00
OPSM Singleton,4702,OPSM Singleton_4702,NSW,Singleton,2330,1 Gowrie St,,,"1 Gowrie St, Singleton, NSW, 2330",(02) 6571 1266,(02) 6571 1316,-32.566,151.1639,,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-13:00; Sun: closed
OPSM St Ives,1398,OPSM St Ives_1398,NSW,St Ives,2075,166 Mona Vale Rd,,,"166 Mona Vale Rd, St Ives, NSW, 2075",(02) 9449 1066,(02) 9449 1319,-33.72977,151.15871,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM George Street,1304,OPSM George Street_1304,NSW,Sydney,2000,413 George St,,,"413 George St, Sydney, NSW, 2000",(02) 9299 3061,(02) 9165 9218,-33.87025,151.20677,"Dry Eye, Collect & Return",Mon: 09:00-18:30; Tue: 09:00-18:30; Wed: 09:00-18:30; Thu: 09:00-21:00; Fri: 09:00-18:30; Sat: 09:00-17:30; Sun: 10:00-17:00
OPSM Macquarie St,1177,OPSM Macquarie St_1177,NSW,Sydney,2000,183 Macquarie St,,,"183 Macquarie St, Sydney, NSW, 2000",(02) 9232 7995,(02) 9221 1585,-33.87025,151.20677,"Dry Eye, Collect & Return",Mon: 08:00-17:30; Tue: 08:00-17:30; Wed: 08:00-17:30; Thu: 08:00-17:30; Fri: 08:00-17:30; Sat: closed; Sun: closed
Optometrist Sylvania by OPSM,2996,Optometrist Sylvania by OPSM_2996,NSW,Sylvania,2224,"Shop 2, Southgate Shopping Centre",,,"Shop 2, Southgate Shopping Centre, Sylvania, NSW, 2224",(02)95446655,(02) 9522 9979,-34.01019,151.10419,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-15:00
OPSM Tamworth,2938,OPSM Tamworth_2938,NSW,Tamworth,2340,335 Peel St,,,"335 Peel St, Tamworth, NSW, 2340",(02) 6766 3256,(02) 6766 3471,-31.09066,150.92956,Collect & Return,Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-17:30; Fri: 08:30-17:30; Sat: 09:00-17:00; Sun: closed
OPSM Taree,2298,OPSM Taree_2298,NSW,Taree,2430,60 Manning Street,,,"60 Manning Street, Taree, NSW, 2430",(02) 6552 2391,(02) 6551 2291,-31.91072,152.45861,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-18:00; Fri: 09:00-17:30; Sat: 09:00-13:00; Sun: closed
OPSM Toormina,1228,OPSM Toormina_1228,NSW,Toormina,2452,5 Toormina Rd,,,"5 Toormina Rd, Toormina, NSW, 2452",(02) 6653 1277,(02) 6658 3141,-30.35346,153.0921,Collect & Return,Mon: 08:30-17:00; Tue: 08:30-17:00; Wed: 08:30-17:00; Thu: 08:30-19:00; Fri: 08:30-17:00; Sat: 09:00-16:00; Sun: closed
OPSM Toronto,2266,OPSM Toronto_2266,NSW,Toronto,2283,47 The Blvd,,,"47 The Blvd, Toronto, NSW, 2283",(02) 4950 5545,(02) 4950 5568,-33.01256,151.59539,Collect & Return,Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-17:30; Fri: 08:30-17:30; Sat: closed; Sun: closed
OPSM Tuggerah,1127,OPSM Tuggerah_1127,NSW,Tuggerah,2259,Cnr Cobbs Rd &amp; Gavenlock Rd,,,"Cnr Cobbs Rd &amp; Gavenlock Rd, Tuggerah, NSW, 2259",(02) 4353 5223,(02) 4353 5230,-33.30802,151.41389,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Tweed Mall,1107,OPSM Tweed Mall_1107,NSW,Tweed Heads,2485,Corner Bay St &amp; Wharf St,,,"Corner Bay St &amp; Wharf St, Tweed Heads, NSW, 2485",(07) 5536 3024,(07) 5536 7826,-28.17218,153.54382,Collect & Return,Mon: 09:00-17:00; Tue: 09:00-17:00; Wed: 09:00-17:00; Thu: 09:00-17:30; Fri: 09:00-17:00; Sat: 09:00-15:00; Sun: closed
OPSM Tweed City,1406,OPSM Tweed City_1406,NSW,Tweed Heads South,2486,"SHOP 227 TWEED CITY SHOPPING CENTRE, 54 MINJUNGBAL",,,"SHOP 227 TWEED CITY SHOPPING CENTRE, 54 MINJUNGBAL, Tweed Heads South, NSW, 2486",(07) 3445 0552,(07) 3445 0553,-28.20204,153.54608,"Dry Eye, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-15:00
OPSM Ulladulla,2993,OPSM Ulladulla_2993,NSW,Ulladulla,2539,93 Princess Highway,,,"93 Princess Highway, Ulladulla, NSW, 2539",(02) 4455 1288,(02) 4455 1278,-35.35753,150.47359,"Dry Eye, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: closed
OPSM Broadway,1423,OPSM Broadway_1423,NSW,Ultimo,2007,1 Bay St,,,"1 Bay St, Ultimo, NSW, 2007",(02) 9212 6366,(02) 9280 1142,-33.88367,151.19366,Collect & Return,Mon: 10:00-19:00; Tue: 10:00-19:00; Wed: 10:00-19:00; Thu: 10:00-21:00; Fri: 10:00-19:00; Sat: 09:00-18:00; Sun: 10:00-18:00
OPSM Wagga Wagga,1021,OPSM Wagga Wagga_1021,NSW,Wagga Wagga,2650,87 Bayliss St,,,"87 Bayliss St, Wagga Wagga, NSW, 2650",(02) 6921 3160,(02) 6921 2653,-35.11539,147.36967,"Dry Eye, Collect & Return",Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-20:00; Fri: 08:30-17:30; Sat: 08:30-16:00; Sun: 10:00-16:00
OPSM Wallsend,2959,OPSM Wallsend_2959,NSW,Wallsend,2287,24 Kokera St,,,"24 Kokera St, Wallsend, NSW, 2287",(02) 8865 8346,(02) 8865 8349,-32.898,151.668,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-17:30; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00
OPSM Warriewood,1068,OPSM Warriewood_1068,NSW,Warriewood,2102,Jacksons Rd,,,"Jacksons Rd, Warriewood, NSW, 2102",(02) 9913 9071,(02) 9913 9680,-33.69569,151.29617,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-18:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00
OPSM Wauchope,2299,OPSM Wauchope_2299,NSW,Wauchope,2446,High St,,,"High St, Wauchope, NSW, 2446",(02) 6585 2755,(02) 6586 4391,-31.45755,152.73391,Collect & Return,Mon: 09:00-17:00; Tue: 09:00-17:00; Wed: 09:00-17:00; Thu: 09:00-17:00; Fri: 09:00-17:00; Sat: closed; Sun: closed
OPSM Wetherill Park,1307,OPSM Wetherill Park_1307,NSW,Wetherill Park,2164,Polding St,,,"Polding St, Wetherill Park, NSW, 2164",(02) 9729 0339,(02) 9609 5648,-33.85862,150.89779,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Winston Hills,2928,OPSM Winston Hills_2928,NSW,Winston Hills,2153,180 Caroline Chisholm Dr,,,"180 Caroline Chisholm Dr, Winston Hills, NSW, 2153",(02) 9674 8632,(02) 9136 7668,-33.77275,150.96801,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Wollongong,1015,OPSM Wollongong_1015,NSW,Wollongong,2500,200 Crown St,,,"200 Crown St, Wollongong, NSW, 2500",(02) 4229 4444,(02) 4229 4222,-34.42477,150.8942,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00
OPSM Woy Woy,1311,OPSM Woy Woy_1311,NSW,Woy Woy,2256,Railway St,,,"Railway St, Woy Woy, NSW, 2256",(02) 4342 3033,(02) 4341 1209,-33.48774,151.32397,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-15:00
OPSM Alice Springs,1582,OPSM Alice Springs_1582,NT,Alice Springs,0870,Hartley St,,,"Hartley St, Alice Springs, NT, 0870",(08) 8952 8277,(08) 8952 5558,-23.69941,133.88087,Collect & Return,Mon: 08:30-17:00; Tue: 08:30-17:00; Wed: 08:30-17:00; Thu: 08:30-17:00; Fri: 08:30-17:00; Sat: 08:30-15:00; Sun: closed
OPSM Casuarina,1200,OPSM Casuarina_1200,NT,Darwin,0810,247 Trower Rd,,,"247 Trower Rd, Darwin, NT, 0810",(08) 8927 9377,(08) 8927 4586,-12.37553,130.88083,"Dry Eye, Kids Vision Centre, Collect & Return",Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-17:30; Fri: 08:30-20:00; Sat: 08:30-17:00; Sun: 09:30-15:00
OPSM Darwin,1577,OPSM Darwin_1577,NT,Darwin,0800,Smith St Mall,,,"Smith St Mall, Darwin, NT, 0800",(08) 8941 1577,(08) 8981 6016,-12.46378,130.84219,"Kids Vision Centre, Collect & Return",Mon: 08:30-17:00; Tue: 08:30-17:00; Wed: 08:30-17:00; Thu: 08:30-17:00; Fri: 08:30-17:00; Sat: closed; Sun: closed
OPSM Katherine,1580,OPSM Katherine_1580,NT,Katherine,0851,Katherine Tce,,,"Katherine Tce, Katherine, NT, 0851",(08) 8972 2035,(08) 8971 0834,-14.46567,132.26553,Collect & Return,Mon: 08:30-17:00; Tue: 08:30-17:00; Wed: 08:30-17:00; Thu: 08:30-17:00; Fri: 08:30-17:00; Sat: closed; Sun: closed
OPSM Palmerston,1191,OPSM Palmerston_1191,NT,Yarrawonga,0830,1 Roystonea Ave,,,"1 Roystonea Ave, Yarrawonga, NT, 0830",(08) 8932 7320,(08) 8932 7647,-12.47133,130.98307,"Kids Vision Centre, Collect & Return",Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-17:30; Fri: 08:30-20:00; Sat: 09:00-17:00; Sun: 10:00-15:00
OPSM Townsville,1161,OPSM Townsville_1161,QLD,Aitkenvale,4814,310 Ross River Rd,,,"310 Ross River Rd, Aitkenvale, QLD, 4814",(07) 4725 4822,(07) 4725 4861,-19.3001,146.76274,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-15:00
OPSM Aspley,2272,OPSM Aspley_2272,QLD,Aspley,4034,59 Albany Creek Rd,,,"59 Albany Creek Rd, Aspley, QLD, 4034",(07) 3263 8377,(07) 3263 8128,-27.36192,153.01364,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00
OPSM Birtinya,2982,OPSM Birtinya_2982,QLD,Birtinya,4575,8 The Avenue,,,"8 The Avenue, Birtinya, QLD, 4575",(07) 5301 9276,(07) 53019277,-26.74019,153.11627,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-19:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:30-16:00
OPSM Booval,1065,OPSM Booval_1065,QLD,Booval,4304,139 Brisbane Rd,,,"139 Brisbane Rd, Booval, QLD, 4304",(07) 3281 2360,(07) 3281 6340,-27.61489,152.78985,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: closed
OPSM Albert St Brisbane,1513,OPSM Albert St Brisbane_1513,QLD,Brisbane,4000,186 Albert St,,,"186 Albert St, Brisbane, QLD, 4000",(07) 3229 2200,(07) 3210 0952,-27.47015,153.02556,Collect & Return,Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-17:30; Fri: 08:30-20:00; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Wintergarden,1464,OPSM Wintergarden_1464,QLD,Brisbane,4000,170-209 Queen St,,,"170-209 Queen St, Brisbane, QLD, 4000",(07) 3221 1158,(07) 3229 7008,-27.46945,153.02646,Collect & Return,Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-17:30; Fri: 08:30-20:00; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Pacific Fair,1495,OPSM Pacific Fair_1495,QLD,Broadbeach,4218,2 Hooker Blvd,,,"2 Hooker Blvd, Broadbeach, QLD, 4218",(07) 5570 6204,(07) 3557 0165,-28.03722,153.42698,"Dry Eye, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:30; Sun: 10:00-16:00
OPSM Browns Plains,1357,OPSM Browns Plains_1357,QLD,Browns Plains,4118,27-29 Browns Plains Rd,,,"27-29 Browns Plains Rd, Browns Plains, QLD, 4118",(07) 3800 6911,(07) 3800 5360,-27.66249,153.04105,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Kawana Waters,7059,OPSM Kawana Waters_7059,QLD,Buddina,4575,119 Point Cartwright Dr,,,"119 Point Cartwright Dr, Buddina, QLD, 4575",(07) 5478 1864,(07) 5478 3983,-26.70449,153.12945,,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:30-16:00
OPSM Bundaberg Hinkler,1111,OPSM Bundaberg Hinkler_1111,QLD,Bundaberg,4670,16 Maryborough St,,,"16 Maryborough St, Bundaberg, QLD, 4670",(07) 4152 4377,(07) 4152 9165,-24.87208,152.34968,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-14:00
OPSM Bundaberg Sugarland,1386,OPSM Bundaberg Sugarland_1386,QLD,Bundaberg,4670,115 - 119 Takalvan St,,,"115 - 119 Takalvan St, Bundaberg, QLD, 4670",(07) 4151 7131,(07) 4151 7136,-24.88723,152.31848,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00
OPSM Burleigh Heads,1085,OPSM Burleigh Heads_1085,QLD,Burleigh Heads,4220,149 West Burleigh Rd,,,"149 West Burleigh Rd, Burleigh Heads, QLD, 4220",(07) 5568 7023,(07) 5568 7652,-28.09723,153.44072,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-18:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-15:00
OPSM Cairns Central,1336,OPSM Cairns Central_1336,QLD,Cairns,4870,1-21 Mcleod St,,,"1-21 Mcleod St, Cairns, QLD, 4870",(07) 4051 1666,(07) 4051 0747,-16.9244,145.77232,Collect & Return,Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-20:00; Fri: 08:30-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00
OPSM Smithfield,1237,OPSM Smithfield_1237,QLD,Cairns,4878,Captain Cook Hwy &amp; Kennedy Hwy,,,"Captain Cook Hwy &amp; Kennedy Hwy, Cairns, QLD, 4878",(07) 4038 2555,(07) 4038 2811,-16.83688,145.69179,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-15:00
OPSM Caloundra,1385,OPSM Caloundra_1385,QLD,Caloundra,4551,47 Bowman Rd,,,"47 Bowman Rd, Caloundra, QLD, 4551",(07) 5491 5507,(07) 5492 7641,-26.80295,153.12537,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
OPSM Cannon Hill,1264,OPSM Cannon Hill_1264,QLD,Cannon Hill,4170,Wynnum Rd,,,"Wynnum Rd, Cannon Hill, QLD, 4170",(07) 3899 3255,(07) 3899 5688,-27.47144,153.09844,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-20:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00
OPSM Capalaba Park,1246,OPSM Capalaba Park_1246,QLD,Capalaba,4157,Cnr Mt Cotton Rd &amp; Redland Bay Rd,,,"Cnr Mt Cotton Rd &amp; Redland Bay Rd, Capalaba, QLD, 4157",(07) 3823 3061,(07) 3823 3067,-27.52421,153.19055,Collect & Return,Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-16:00; Sun: 10:00-16:00
OPSM Carindale,1266,OPSM Carindale_1266,QLD,Carindale,4152,1151 Creek Rd,,,"1151 Creek Rd, Carindale, QLD, 4152",(07) 3398 9911,(07) 3324 9455,-27.50309,153.10197,"Dry Eye, Collect & Return",Mon: 08:30-17:30; Tue: 08:30-17:30; Wed: 08:30-17:30; Thu: 08:30-20:00; Fri: 08:30-17:30; Sat: 08:30-17:00; Sun: 09:30-16:00
OPSM Chermside,1346,OPSM Chermside_1346,QLD,Chermside,4032,Cnr Gympie Rd &amp; Hamilton Rd,,,"Cnr Gympie Rd &amp; Hamilton Rd, Chermside, QLD, 4032",(07) 3350 1166,(07) 3350 4303,-27.3828,153.03289,"Dry Eye, Collect & Return",Mon: 09:00-17:30; Tue: 09:00-17:30; Wed: 09:00-17:30; Thu: 09:00-21:00; Fri: 09:00-17:30; Sat: 09:00-17:00; Sun: 10:00-16:00
