retailer,store_id,affiliations,name,status,country,state,suburb,postcode,full_address,phone,latitude,longitude,official_url,services,audiology,venue_name,venue_id,location_type,classification_confidence,classification_basis,store_area_sqm,area_measure,area_source,area_date,area_confidence,source_url,fetched_at
Independent / Other optical,independent-other-optical-osm-au-node-13670708403,,J & J Optical,Mapped,Australia,NSW,,,Australia,+61 2 4933 0055,-32.7613793,151.5900137,https://www.openstreetmap.org/node/13670708403,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/13670708403,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-4789534885,,Kellyville Optical,Mapped,Australia,NSW,,,Australia,,-33.7132082,150.9718462,https://www.openstreetmap.org/node/4789534885,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/4789534885,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-4945481391,,Kofsky Optometry,Mapped,Australia,NSW,,,Australia,+61 2 9371 0093,-33.8701345,151.2693489,https://www.openstreetmap.org/node/4945481391,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/4945481391,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-11115368664,,Lamas + Brown Optometrists,Mapped,Australia,NSW,,,Australia,,-28.8633178,153.0484871,https://www.openstreetmap.org/node/11115368664,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/11115368664,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-3981230962,,Lifestyle Optical,Mapped,Australia,NSW,,,Australia,,-33.8725169,151.2075863,https://www.openstreetmap.org/node/3981230962,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/3981230962,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-12818552017,,MaxMara,Mapped,Australia,NSW,,,Australia,,-33.8134329,151.0038399,https://www.openstreetmap.org/node/12818552017,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/12818552017,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-7730212701,,Mudgee Eyecare,Mapped,Australia,NSW,,,Australia,,-32.591925,149.5882087,https://www.openstreetmap.org/node/7730212701,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/7730212701,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-10689683737,,Myspec,Mapped,Australia,NSW,,,Australia,,-33.8787049,151.2027077,https://www.openstreetmap.org/node/10689683737,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/10689683737,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-11425010142,,Narooma Vision,Mapped,Australia,NSW,,,Australia,,-36.2197148,150.1327024,https://www.openstreetmap.org/node/11425010142,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/11425010142,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-9892744780,,Oakley,Mapped,Australia,NSW,,,Australia,,-33.8697257,151.2068043,https://www.openstreetmap.org/node/9892744780,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/9892744780,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-way-1104859305,,Optica Eyewear & Eyecare,Mapped,Australia,NSW,,,Australia,,-33.9108368,151.1566629,https://www.openstreetmap.org/way/1104859305,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/way/1104859305,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-10578256822,,Optical 88,Mapped,Australia,NSW,,,Australia,,-33.7953551,151.1855917,https://www.openstreetmap.org/node/10578256822,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/10578256822,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-4546327090,,Optometrists,Mapped,Australia,NSW,,,Australia,,-33.9213668,150.9241029,https://www.openstreetmap.org/node/4546327090,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/4546327090,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-way-1301075399,,Paul Harvey Optometrist,Mapped,Australia,NSW,,,Australia,,-31.092165,150.9198852,https://www.openstreetmap.org/way/1301075399,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/way/1301075399,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-9354608723,,Penrith Spectacles,Mapped,Australia,NSW,,,Australia,,-33.7523535,150.6937738,https://www.openstreetmap.org/node/9354608723,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/9354608723,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-9365266935,,Precision Specs,Mapped,Australia,NSW,,,Australia,,-33.764115,150.774663,https://www.openstreetmap.org/node/9365266935,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/9365266935,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-5072911675,,Proview,Mapped,Australia,NSW,,,Australia,,-33.7962505,151.1835031,https://www.openstreetmap.org/node/5072911675,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/5072911675,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-4505475885,,Rodgers Optical Services,Mapped,Australia,NSW,,,Australia,,-32.9348715,151.7255916,https://www.openstreetmap.org/node/4505475885,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/4505475885,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-13911331068,,ThankUOptics,Mapped,Australia,NSW,,,Australia,,-33.7880479,150.9496906,https://www.openstreetmap.org/node/13911331068,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/13911331068,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-11751506892,,The Eye Scene,Mapped,Australia,NSW,,,Australia,,-33.8769922,151.2424125,https://www.openstreetmap.org/node/11751506892,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/11751506892,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-8228920367,,The Eye-Site,Mapped,Australia,NSW,,,Australia,,-34.044437,151.1235161,https://www.openstreetmap.org/node/8228920367,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/8228920367,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-4547827590,,The Eyecare,Mapped,Australia,NSW,,,Australia,,-33.9183968,150.9240376,https://www.openstreetmap.org/node/4547827590,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/4547827590,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-6461153274,,The Optical Co,Mapped,Australia,NSW,,,Australia,,-33.8721489,151.2076306,https://www.openstreetmap.org/node/6461153274,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/6461153274,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-5421723042,,View Optometrist,Mapped,Australia,NSW,,,Australia,,-33.8183914,151.003612,https://www.openstreetmap.org/node/5421723042,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/5421723042,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-13343526524,,Young Eyes,Mapped,Australia,NSW,,,Australia,,-34.3129797,148.2950229,https://www.openstreetmap.org/node/13343526524,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/13343526524,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-3977545466,,Zoom,Mapped,Australia,NSW,,,Australia,,-33.8838293,151.1940062,https://www.openstreetmap.org/node/3977545466,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/3977545466,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-3991780847,,avian eyecare,Mapped,Australia,NSW,,,Australia,,-33.8231438,151.194206,https://www.openstreetmap.org/node/3991780847,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/3991780847,2026-09-01T07:48:20.085579Z
Independent / Other optical,independent-other-optical-osm-au-node-10930812225,,icontact,Mapped,Australia,NSW,,,Australia,,-33.7038165,151.1000669,https://www.openstreetmap.org/node/10930812225,Optical / optician listing,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.openstreetmap.org/node/10930812225,2026-09-01T07:48:20.085579Z
Specsavers,specsavers-3465,,Albury,Active,Australia,NSW,Albury,2640,"511-517 Dean St, Shop 2, Albury, NSW, 2640",(02) 6023 5815,-36.081432,146.91747,https://www.specsavers.com.au/stores/albury,Optometry; Audiology,true,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://www.specsavers.com.au/stores/albury,2026-09-01T23:21:29.969Z
Specsavers,specsavers-3611,,Armidale,Active,Australia,NSW,Armidale,2350,"Shop 24, Armidale Central, 225 Beardy Street, Armidale, NSW, 2350",(02) 6362 0901,-30.512236,151.66284,https://www.specsavers.com.au/stores/armidale,Optometry; Audiology,true,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://www.specsavers.com.au/stores/armidale,2026-09-01T23:21:29.969Z
Eyecare Plus,eyecare-plus-567,,Eyecare Plus Optometrists Bankstown,Active,Australia,NSW,Bankstown,2200,"Shop SP232 Bankstown Central, North Terrace, Bankstown, NSW, 2200",(02) 9790 5343,-33.916407,151.038375,https://www.eyecareplus.com.au/bankstown/,,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.eyecareplus.com.au/find-optometrist/,2026-09-02T12:40:25.820359+00:00
OPSM,opsm-1178,,Opsm Bankstown,Active,Australia,NSW,Bankstown,2200,"Bankstown Central, Stacey Street, Bankstown, NSW, 2200",(02) 9709 2420,-33.9163,151.03819,https://www.opsm.com.au/en/opsm-au/find-store,"Audiology, Dry Eye, Collect & Return",true,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
Oscar Wylee,oscar-wylee-145,,Bankstown Central,Active,Australia,NSW,Bankstown,2200,"Bankstown Central, Shop 188 North Terrace, Bankstown NSW 2200",(02) 7208 7796,-33.914672152252,151.039121,https://www.oscarwylee.com.au/locations/locations/optometrist-bankstown.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://www.oscarwylee.com.au/locations/locations/optometrist-bankstown.html,2026-09-01T07:43:15+00:00
Specsavers,specsavers-3383,,Bankstown Centro Lvl 1,Active,Australia,NSW,Bankstown,2200,"Shop SP345A, North Terrace, Bankstown, NSW, 2200",(02) 9707 2933,-33.91623,151.039,https://www.specsavers.com.au/stores/bankstown,Optometry; Audiology,true,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://www.specsavers.com.au/stores/bankstown,2026-09-01T23:21:29.969Z
OPSM,opsm-2990,,OPSM Bateau Bay,Active,Australia,NSW,Bateau Bay,2261,"The Entrance Rd, Bateau Bay, NSW, 2261",(02) 4333 4370,-33.37342,151.47296,https://www.opsm.com.au/en/opsm-au/find-store,Collect & Return,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
OPSM,opsm-2995,,OPSM Batemans Bay,Active,Australia,NSW,Batemans Bay,2536,"Orient St, Batemans Bay, NSW, 2536",(02) 4472 7088,-35.70684,150.17782,https://www.opsm.com.au/en/opsm-au/find-store,Collect & Return,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
OPSM,opsm-2216,,OPSM Burwood,Active,Australia,NSW,Burwood,2134,"Burwood Rd, Burwood, NSW, 2134",(02) 9747 3925,-33.8748,151.10507,https://www.opsm.com.au/en/opsm-au/find-store,Collect & Return,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
Independent / Other optical,independent-other-optical-provision-16855,provision,Sparks & Feros Optometrists,Active,Australia,NSW,Carlingford,2118,"Shop 111B, Ground Floor, Carlingford Court, Carlingford, New South Wales, 2118",,-33.776985,151.052345,https://www.provision.com.au/practice/sparks-feros-optometrists/,,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.provision.com.au/search-results/,2026-09-02T12:40:25.820359+00:00
Specsavers,specsavers-3663,,Carlingford,Active,Australia,NSW,Carlingford,2118,"Shop 204, Carlingford Court, Cnr Carlingford Road & Pennant Hill Road, Carlingford, NSW, 2118",(02) 8660 0998,-33.77669,151.05203,https://www.specsavers.com.au/stores/carlingford,Optometry,false,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://www.specsavers.com.au/stores/carlingford,2026-09-01T23:21:29.969Z
OPSM,opsm-1219,,OPSM Charlestown,Active,Australia,NSW,Charlestown,2290,"Pearson St, Charlestown, NSW, 2290",(02) 4943 9066,-32.96465,151.69361,https://www.opsm.com.au/en/opsm-au/find-store,"Dry Eye, Collect & Return",false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
Specsavers,specsavers-3319,,Chatswood,Active,Australia,NSW,Chatswood,2067,"Shop A, 398 Victoria Avenue, Chatswood, NSW, 2067",(02) 9411 3390,-33.796463,151.18256,https://www.specsavers.com.au/stores/chatswood,Optometry; Audiology,true,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://www.specsavers.com.au/stores/chatswood,2026-09-01T23:21:29.969Z
OPSM,opsm-1086,,OPSM Cherrybrook,Active,Australia,NSW,Cherrybrook,2126,"41 - 47 Shepherds Dr, Cherrybrook, NSW, 2126",(02) 9481 4287,-33.7207,151.04392,https://www.opsm.com.au/en/opsm-au/find-store,"Dry Eye, Kids Vision Centre, Collect & Return",false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
OPSM,opsm-1205,,OPSM Dee Why,Active,Australia,NSW,Dee Why,2099,"15-19 Pacific Pde, Dee Why, NSW, 2099",(02) 9981 2442,-33.75462,151.28482,https://www.opsm.com.au/en/opsm-au/find-store,Collect & Return,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
Bailey Nelson,bailey-nelson-green-hills,,Bailey Nelson Green Hills,Active,Australia,NSW,East Maitland,2323,"1 Molly Morgan Dr, East Maitland, NSW, 2323",+61240818935,-32.7627913,151.5913572,https://baileynelson.com.au/pages/optometrist-green-hills,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://baileynelson.com.au/pages/optometrist-green-hills,2026-09-01T07:42:35+00:00
OPSM,opsm-1403,,OPSM Green Hills,Active,Australia,NSW,East Maitland,2323,"1 Molly Morgan Dr, East Maitland, NSW, 2323",(02) 83213480,-32.76187,151.59151,https://www.opsm.com.au/en/opsm-au/find-store,Collect & Return,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
Specsavers,specsavers-3446,,East Maitland - Green Hills,Active,Australia,NSW,East Maitland,2323,"Shop 012/1 Molly Morgan Drive, East Maitland, NSW, 2323",(02) 4933 0844,-32.76294,151.59111,https://www.specsavers.com.au/stores/eastmaitland,Optometry; Audiology,true,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://www.specsavers.com.au/stores/eastmaitland,2026-09-01T23:21:29.969Z
OPSM,opsm-1416,,OPSM Erina,Active,Australia,NSW,Erina,2250,"Terrigal Dr, Erina, NSW, 2250",(02) 4365 1024,-33.43802,151.39395,https://www.opsm.com.au/en/opsm-au/find-store,"Dry Eye, Collect & Return",false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
OPSM,opsm-1350,,OPSM Forster,Active,Australia,NSW,Forster,2428,"Breese Pde, Forster, NSW, 2428",(02) 6555 7254,-32.19959,152.52014,https://www.opsm.com.au/en/opsm-au/find-store,Collect & Return,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
OPSM,opsm-1473,,OPSM Forestway,Active,Australia,NSW,Frenchs Forest,2086,"20 Forest Way, Frenchs Forest, NSW, 2086",(02) 9452 1555,-33.75016,151.22431,https://www.opsm.com.au/en/opsm-au/find-store,Collect & Return,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
OPSM,opsm-1279,,OPSM Katoomba,Active,Australia,NSW,Katoomba,2780,"Katoomba St, Katoomba, NSW, 2780",(02) 4782 2525,-33.71558,150.31107,https://www.opsm.com.au/en/opsm-au/find-store,Collect & Return,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
Bailey Nelson,bailey-nelson-kotara,,Bailey Nelson Kotara,Active,Australia,NSW,Kotara,2289,"Northcott Drive, Kotara, NSW, 2289",+61240818930,-32.9422944,151.7112084,https://baileynelson.com.au/pages/optometrist-kotara,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://baileynelson.com.au/pages/optometrist-kotara,2026-09-01T07:42:35+00:00
OPSM,opsm-1320,,OPSM Lake Haven,Active,Australia,NSW,Lake Haven,2263,"92 Lake Haven Dr, Lake Haven, NSW, 2263",(02) 4393 2904,-33.24173,151.50465,https://www.opsm.com.au/en/opsm-au/find-store,Collect & Return,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
OPSM,opsm-1106,,OPSM Liverpool,Active,Australia,NSW,Liverpool,2170,"Macquarie St, Liverpool, NSW, 2170",(02) 9602 3105,-33.91883,150.92359,https://www.opsm.com.au/en/opsm-au/find-store,Collect & Return,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
Specsavers,specsavers-3544,,Marrickville,Active,Australia,NSW,Marrickville,2204,"Shop 86B/34 Victoria Road, Marrickville, NSW, 2204",(02) 9557 8108,-33.907146,151.17223,https://www.specsavers.com.au/stores/marrickville,Optometry,false,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://www.specsavers.com.au/stores/marrickville,2026-09-01T23:21:29.969Z
Bailey Nelson,bailey-nelson-miranda,,Bailey Nelson Miranda,Active,Australia,NSW,Miranda,2228,"600 Kingsway, Miranda, NSW, 2228",+61283571351,-34.0355512,151.1006368,https://baileynelson.com.au/pages/optometrist-miranda,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://baileynelson.com.au/pages/optometrist-miranda,2026-09-01T07:42:35+00:00
Independent / Other optical,independent-other-optical-provision-34119,provision,6D Vision,Active,Australia,NSW,Miranda,2228,"Shop 3, 599 Kingsway, Miranda, New South Wales, 2228",,-34.033811,151.10061399999995,https://www.provision.com.au/practice/6d-vision/,,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.provision.com.au/search-results/,2026-09-02T12:40:25.820359+00:00
OPSM,opsm-1174,,OPSM Miranda,Active,Australia,NSW,Miranda,2228,"600 The Kingsway, Miranda, NSW, 2228",(02) 9524 6789,-34.03555,151.10063,https://www.opsm.com.au/en/opsm-au/find-store,"Dry Eye, Collect & Return",false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
OPSM,opsm-2941,,OPSM Mona Vale,Active,Australia,NSW,Mona Vale,2103,"Bungan St, Mona Vale, NSW, 2103",(02) 9999 4756,-33.67635,151.30329,https://www.opsm.com.au/en/opsm-au/find-store,Collect & Return,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
Bailey Nelson,bailey-nelson-mosman,,Bailey Nelson Mosman,Active,Australia,NSW,Mosman,2088,"Shop 3 - 597 Military Road, Mosman, NSW, 2088",+61290008068,-33.8253654,151.2420018,https://baileynelson.com.au/pages/optometrist-mosman,Optometry Services; Bulk-Billed Eye Tests; Private Eye Tests from $65; Contact Lens Eye Tests; Visual Fields Testing; Ultra-wide retinal imaging; Optical & Sunglass styling; Free frame adjustments,false,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://baileynelson.com.au/pages/optometrist-mosman,2026-09-01T07:42:35+00:00
OPSM,opsm-1056,,OPSM Narellan,Active,Australia,NSW,Narellan,2567,"326 Camden Valley Way, Narellan, NSW, 2567",(02) 4648 2742,-34.04195,150.73702,https://www.opsm.com.au/en/opsm-au/find-store,"Dry Eye, Collect & Return",false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
Specsavers,specsavers-3494,,Neutral Bay,Active,Australia,NSW,Neutral Bay,2089,"Shops 1-3, 184 Military Road, Neutral Bay, NSW, 2089",(02) 8969 6254,-33.83119,151.2221,https://www.specsavers.com.au/stores/neutralbay,Optometry; Audiology,true,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://www.specsavers.com.au/stores/neutralbay,2026-09-01T23:21:29.969Z
OPSM,opsm-2994,,OPSM Nowra,Active,Australia,NSW,Nowra,2540,"Kinghorne St, Nowra, NSW, 2540",(02) 4421 3420,-34.87433,150.60319,https://www.opsm.com.au/en/opsm-au/find-store,Collect & Return,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
OPSM,opsm-4614,,OPSM Oran Park,Active,Australia,NSW,Oran Park,2570,"351 Oran Park Dr., Oran Park, NSW, 2570",(02) 4744 3831,-34.01285,150.74166,https://www.opsm.com.au/en/opsm-au/find-store,Kids Vision Centre,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
Independent / Other optical,independent-other-optical-provision-16904,provision,Stephen Daly Optometrist,Active,Australia,NSW,Penshurst,2222,"21 The Strand, Penshurst, New South Wales, 2222",,-33.967049,151.088405,https://www.provision.com.au/practice/stephen-daly-optometrist/,,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.provision.com.au/search-results/,2026-09-02T12:40:25.820359+00:00
OPSM,opsm-1351,,OPSM Plumpton,Active,Australia,NSW,Plumpton,2761,"Hyatts Rd & Jersey Rd, Plumpton, NSW, 2761",(02) 9677 2387,-33.7458,150.83603,https://www.opsm.com.au/en/opsm-au/find-store,Collect & Return,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
OPSM,opsm-1430,,OPSM Raymond Terrace,Active,Australia,NSW,Raymond Terrace,2324,"Port Stephens St, Raymond Terrace, NSW, 2324",(02) 4987 3171,-32.76086,151.74363,https://www.opsm.com.au/en/opsm-au/find-store,Collect & Return,false,,,Main Street / Street-front,Low,Official address contains street evidence but needs review,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
Eyecare Plus,eyecare-plus-665,,Eyecare Plus Optometrists Revesby,Active,Australia,NSW,Revesby,2212,"20 Selems Pde, Revesby, NSW, 2212",(02) 9773 9911,-33.950887,151.014828,https://www.eyecareplus.com.au/revesby/,,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.eyecareplus.com.au/find-optometrist/,2026-09-02T12:40:25.820359+00:00
OPSM,opsm-2966,,OPSM Rhodes,Active,Australia,NSW,Rhodes,2138,"1 Rider Blvd, Rhodes, NSW, 2138",(02) 9743 5616,-33.83515,151.08538,https://www.opsm.com.au/en/opsm-au/find-store,Collect & Return,false,,,Unclassified,Low,Insufficient official venue or street evidence,,,,,Unknown,https://www.opsm.com.au/en/opsm-au/find-store,2026-09-01T07:42:23+00:00
Oscar Wylee,oscar-wylee-139,,Rhodes,Active,Australia,NSW,Rhodes,2138,"Rhodes Waterside, Shop 19, 1 Rider Boulevard, Rhodes NSW 2138",(02) 8541 6931,-33.835371937773,151.0848272847,https://www.oscarwylee.com.au/locations/locations/optometrist-rhodes.html,"Comprehensive eye tests, Prescription glasses, Sunglasses",false,,,Shopping Centre,Medium,Official address uses a shop/level format; venue name requires review,,,,,Unknown,https://www.oscarwylee.com.au/locations/locations/optometrist-rhodes.html,2026-09-01T07:43:15+00:00
